CNN출력 채널, CNN 커널 크기, GRU 은닉 상태 차원,
GRU 계층 수, 드롭아웃 비율, 예측 헤드 중간 차원,
학습률, 배치 크기,
구매로 판단할 확률 임계값, pos_weight 사용 여부

1

128, 3, 256,
1, 0.1, 128
0.001, 32
0.1, False

학습 손실: 0.0013, 검증 손실: 0.0013, 검증 지표: [F1_micro_overall: 0.0366, F1_macro: 0.0003, Precision@10: 0.6008, Recall@10: 0.0189, Precision@20: 0.6008, Recall@20: 0.0189]

2

256, 5, 512,
2, 0.1, 256
0.001, 32
0.1, False

최종 테스트 세트 손실: 0.0013, 테스트 지표: [F1_micro_overall: 0.0288, F1_macro: 0.0001, Precision@10: 0.6199, Recall@10: 0.0147, Precision@20: 0.6199, Recall@20: 0.0147]    

3

256, 5, 512,
2, 0.1, 256
0.001, 32
0.1, True

최종 테스트 세트 손실: 0.5924, 테스트 지표: [F1_micro_overall: 0.0032, F1_macro: 0.0005, Precision@10: 0.0016, Recall@10: 0.8878, Precision@20: 0.0016, Recall@20: 0.8878]

4

256, 5, 512,
2, 0.1, 256
0.001, 32
0.5, True

최종 테스트 세트 손실: 0.5924, 테스트 지표: [F1_micro_overall: 0.0013, F1_macro: 0.0005, Precision@10: 0.0006, Recall@10: 0.9741, Precision@20: 0.0006, Recall@20: 0.9741]

threshold 실험

0.1
최종 테스트 세트 손실: 0.2456, 테스트 지표: [F1_micro_overall: 0.0013, F1_macro: 0.0005, Precision@10: 0.0006, Recall@10: 0.9741, Precision@20: 0.0006, Recall@20: 0.9741]
0.15
최종 테스트 세트 손실: 0.2456, 테스트 지표: [F1_micro_overall: 0.0013, F1_macro: 0.0005, Precision@10: 0.0006, Recall@10: 0.9741, Precision@20: 0.0006, Recall@20: 0.9741]

cnn_kernelsize = 5
최종 테스트 세트 손실: 0.0091, 테스트 지표: [F1_micro_overall: 0.1130, F1_macro: 0.0004, Precision@10: 0.1351, Recall@10: 0.0971, Precision@20: 0.1351, Recall@20: 0.0971] 
cnn_kernelsize = 4
모델 가중치 로드 완료: ./models\cnn_gru_cnn.pth
최종 테스트 세트 손실: 0.0089, 테스트 지표: [F1_micro_overall: 0.1297, F1_macro: 0.0009, Precision@10: 0.1386, Recall@10: 0.1219, Precision@20: 0.1386, Recall@20: 0.1219]

[pw=5, th=0.10] Prec=0.0411 Rec=0.1669 F1=0.0659
[pw=5, th=0.20] Prec=0.0825 Rec=0.0783 F1=0.0803
[pw=5, th=0.30] Prec=0.1218 Rec=0.0460 F1=0.0668
[pw=5, th=0.40] Prec=0.1571 Rec=0.0278 F1=0.0472
[pw=5, th=0.50] Prec=0.1937 Rec=0.0119 F1=0.0223
[pw=5, th=0.60] Prec=0.0000 Rec=0.0000 F1=0.0000
[pw=5, th=0.70] Prec=0.0000 Rec=0.0000 F1=0.0000

[pw=10, th=0.10] Prec=0.0322 Rec=0.2092 F1=0.0559
[pw=10, th=0.20] Prec=0.0611 Rec=0.1124 F1=0.0792
[pw=10, th=0.30] Prec=0.1010 Rec=0.0625 F1=0.0772
[pw=10, th=0.40] Prec=0.1382 Rec=0.0393 F1=0.0612
[pw=10, th=0.50] Prec=0.1621 Rec=0.0205 F1=0.0364
[pw=10, th=0.60] Prec=0.2333 Rec=0.0049 F1=0.0096
[pw=10, th=0.70] Prec=0.0000 Rec=0.0000 F1=0.0000

[pw=15, th=0.10] Prec=0.0178 Rec=0.3205 F1=0.0338
[pw=15, th=0.20] Prec=0.0342 Rec=0.2036 F1=0.0585
[pw=15, th=0.30] Prec=0.0520 Rec=0.1389 F1=0.0757
[pw=15, th=0.40] Prec=0.0725 Rec=0.0971 F1=0.0830
[pw=15, th=0.50] Prec=0.0998 Rec=0.0650 F1=0.0787
[pw=15, th=0.60] Prec=0.1346 Rec=0.0420 F1=0.0640
[pw=15, th=0.70] Prec=0.1847 Rec=0.0208 F1=0.0374

[pw=20, th=0.10] Prec=0.0147 Rec=0.3591 F1=0.0283
[pw=20, th=0.20] Prec=0.0280 Rec=0.2371 F1=0.0501
[pw=20, th=0.30] Prec=0.0431 Rec=0.1645 F1=0.0683
